label,object_id,angular_error_deg,sde,dist_origin_centroid_norm,sphericity
direct,3dc60bce3e8d3ece3077dad41839c251,43.1258,0.284122,0.1621272434113921,0.6687248732810733
direct,3dd8c11bc608441f1b17743c18fb63dc,17.2205,0.299908,0.2002776522736863,0.8747086922579962
direct,3de49fd2e80f8c95c97cfc3e8a6b1d16,86.1047,0.10335,0.030140527988127188,0.8083784668262864
direct,3e2a452e802b178eb72f1eb118b6fbc3,51.623,0.251526,0.12745950220034447,0.6823749838867911
direct,3e2a8aab3ad459e5f446f92b52bbd82a,2.8655,0.14449,0.24748272713310068,0.6918298368074053
direct,3e59aa33fcf672b8f4fb4dee5181bee,7.5647,0.556928,0.07033977057358337,0.7557356649468032
direct,3e760133301353a147cddb7c026e92eb,3.648,0.617369,0.13727891724409716,0.7112100728712663
direct,3e8165c41c526ea45eb64c1003065596,2.4026,0.14288,0.3824072856661855,0.7325181148104396
direct,3f058be47b5d4cf353c1d159a8a8422,3.8894,0.478577,0.11965399677907773,0.7354319783186348
direct,3f14c153dc861c0990453a996fcb7627,3.6634,0.521405,0.1637984704882872,0.7304934381752528
direct,3f51197359289bf839d3717288022c20,3.0323,0.439584,0.23472319049642396,0.809253781375137
direct,3fc831f0c69c981048d189f942cedc62,4.464,0.291149,0.22718823356523252,0.7616762610043059
direct,3feb79684658db043efeb398bf800e80,67.605,0.317931,0.0493763895956082,0.6645629962340106
direct,40279f85fc80e16edccc47bf0dcf5d3,3.653,0.50156,0.07332417540970049,0.6409403505655723
direct,407a485c7d711903ae25f6fe802a8997,3.5529,0.398999,0.0950605006520038,0.7471614394421011
direct,40b48121d1879be2ee0605a41c3320d6,3.9491,0.597615,0.14784584318929478,0.7094656805383364
direct,413f8963de404dd6c3c1160502619061,67.6602,0.437881,0.3351968426963359,0.7724331113882806
direct,41a74616fe8dab5f88b61e9125676b2,3.5775,0.135898,0.14894614761316902,0.694621431745067
direct,41ceeeab52fd3ed3a341228b21d337a9,8.4233,0.233145,0.18712029162054858,0.8294303412903015
direct,41da6df6f2a4e48b5e4e23ed78187234,3.66,0.389796,0.020099685683398698,0.5049488271385926
direct,41f9be4d80af2c709c12d6260da9ac2b,2.883,0.194903,0.572116006137232,0.7501059247844833
direct,423d14787208578580ff80bf789cd,26.9809,0.493199,0.0954804462062859,0.7255395513795563
direct,424d411c37fd30384f224d639c7b7c72,3.1118,0.171987,0.2739115415738691,0.6803608096149915
direct,42c74e5da10975c13af30a3946d92feb,4.0228,0.520483,0.08089870439967384,0.8256928002529146
direct,42fa87cd27edca9efcb8d8c6d4df8143,4.9107,0.374826,0.3424258321286482,0.7712897705905792
direct,437d1c161da1b9fc57e4c0b864012bb5,8.1505,0.277064,0.04236678095396535,0.7280473575661627
direct,438b2dcdbd25a93dea65c47b660136e7,3.4716,0.794339,0.1346330503530275,0.7500060622641928
direct,43f762270b438fe618a36258eabc2b9c,2.5682,0.260174,0.15699311845288738,0.7760312998338283
